Boundary Name,Boundary Type,Finish Type,Construction Type,Insulation Details,Received From,Assembly R Value
Roof,"slate or tile shingles, Finished, R-7, Flat",slate or tile shingles,Flat,"Finished, R-7",res3.1_ochre_500 - bldg0000012,9.235523748
Roof,"slate or tile shingles, Finished, R-7, Pitched",slate or tile shingles,Pitched,"Finished, R-7",res3.1_ochre_500 - bldg0000318,9.288401767
Roof,"slate or tile shingles, Finished, Uninsulated, Flat",slate or tile shingles,Flat,"Finished, Uninsulated",res3.1_ochre_500 - bldg0000071,2.737704918
Roof,"slate or tile shingles, Finished, Uninsulated, Pitched",slate or tile shingles,Pitched,"Finished, Uninsulated",res3.1_ochre_500 - bldg0000002,2.788801572
Roof,"wood shingles or shakes, Finished, R-13, Flat",wood shingles or shakes,Flat,"Finished, R-13",res3.1_ochre_500 - bldg0000232,13.33489901
Roof,"wood shingles or shakes, Finished, R-19, Flat",wood shingles or shakes,Flat,"Finished, R-19",res3.1_ochre_500 - bldg0000388,20.23521026
Roof,"wood shingles or shakes, Finished, R-19, Pitched",wood shingles or shakes,Pitched,"Finished, R-19",res3.1_ochre_500 - bldg0000343,20.28581636
Roof,"wood shingles or shakes, Finished, R-30, Flat",wood shingles or shakes,Flat,"Finished, R-30",res3.1_ochre_500 - bldg0000435,28.73481781
Roof,"wood shingles or shakes, Finished, R-30, Pitched",wood shingles or shakes,Pitched,"Finished, R-30",res3.1_ochre_500 - bldg0000280,28.77850988
Roof,"wood shingles or shakes, Finished, R-38, Flat",wood shingles or shakes,Flat,"Finished, R-38",res3.1_ochre_500 - bldg0000075,35.53191489
Roof,"wood shingles or shakes, Finished, R-38, Pitched",wood shingles or shakes,Pitched,"Finished, R-38",MF_300 - bldg0000068,35.5764411
Roof,"wood shingles or shakes, Finished, R-49, Flat",wood shingles or shakes,Flat,"Finished, R-49",res3.1_ochre_500 - bldg0000056,46.01296596
Roof,"wood shingles or shakes, Finished, R-49, Pitched",wood shingles or shakes,Pitched,"Finished, R-49",res3.1_ochre_500 - bldg0000050,46.08766234
Roof,"wood shingles or shakes, Finished, R-7, Flat",wood shingles or shakes,Flat,"Finished, R-7",res3.1_ochre_500 - bldg0000013,9.235523748
Roof,"wood shingles or shakes, Finished, R-7, Pitched",wood shingles or shakes,Pitched,"Finished, R-7",res3.1_ochre_500 - bldg0000118,9.288401767
Roof,"wood shingles or shakes, Finished, Uninsulated, Flat",wood shingles or shakes,Flat,"Finished, Uninsulated",res3.1_ochre_500 - bldg0000500,2.737704918
Roof,"wood shingles or shakes, Finished, Uninsulated, Pitched",wood shingles or shakes,Pitched,"Finished, Uninsulated",res3.1_ochre_500 - bldg0000362,2.788801572
