Boundary Name,Boundary Type,Construction Type,Insulation Details,Material Name,Thickness (m),Conductivity (W/m-K),Density (kg/m^3),Specific Heat (kJ/kg-K),Resistance (m^2-K/W),Capacitance (kJ/m^2-K),Received From,Specific Heat (J/kg-K)
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-11",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-11",,,WALL LAYER,0.2032,0.862,1762.2,,0.2357,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-11",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-15",,,FIBER CEMENT SIDING,0.0095,0.258,347.634,,0.03689,3.31863931224,,1004.88
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-15",,,WALL RIGID INS,0.0518,0.029,32.04,,1.761,2.01522353256,,1214.23
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-15",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-15",,,WALL LAYER,0.2032,0.293,1762.2,,0.6936,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-15",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-19",,,FIBER CEMENT SIDING,0.0095,0.258,347.634,,0.03689,3.31863931224,,1004.88
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-19",,,WALL RIGID INS,0.0518,0.029,32.04,,1.761,2.01522353256,,1214.23
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-19",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-19",,,WALL LAYER,0.2032,0.182,1762.2,,1.116,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-19",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-7",,,FIBER CEMENT SIDING,0.0095,0.258,347.634,,0.03689,3.31863931224,,1004.88
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-7",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-7",,,WALL LAYER,0.2032,0.138,1762.2,,1.468,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-7",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, R-11",,,WALL RIGID INS,0.0518,0.029,32.04,,1.761,2.01522353256,,1214.23
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, R-11",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, R-11",,,WALL LAYER,0.2032,0.856,1762.2,,0.2374,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, R-11",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, R-19",,,WALL RIGID INS,0.0518,0.029,32.04,,1.761,2.01522353256,,1214.23
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, R-19",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, R-19",,,WALL LAYER,0.2032,0.182,1762.2,,1.118,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, R-19",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, R-7",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, R-7",,,WALL LAYER,0.2032,0.138,1762.2,,1.47,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, R-7",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, Uninsulated",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, Uninsulated",,,WALL LAYER,0.2032,0.391,1762.2,,0.5192,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, Uninsulated",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-11",,,STUCCO,0.0254,0.649,1281.6,,0.03913,28.622559772799992,,879.27
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-11",,,WALL RIGID INS,0.0518,0.029,32.04,,1.761,2.01522353256,,1214.23
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-11",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-11",,,WALL LAYER,0.2032,0.87,1762.2,,0.2335,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-11",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-15",,,STUCCO,0.0254,0.649,1281.6,,0.03913,28.622559772799992,,879.27
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-15",,,WALL RIGID INS,0.0518,0.029,32.04,,1.761,2.01522353256,,1214.23
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-15",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-15",,,WALL LAYER,0.2032,0.294,1762.2,,0.6913,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-15",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-19",,,STUCCO,0.0254,0.649,1281.6,,0.03913,28.622559772799992,,879.27
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-19",,,WALL RIGID INS,0.0518,0.029,32.04,,1.761,2.01522353256,,1214.23
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-19",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-19",,,WALL LAYER,0.2032,0.182,1762.2,,1.114,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-19",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-7",,,STUCCO,0.0254,0.649,1281.6,,0.03913,28.622559772799992,,879.27
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-7",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-7",,,WALL LAYER,0.2032,0.139,1762.2,,1.466,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-7",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, Uninsulated",,,STUCCO,0.0254,0.649,1281.6,,0.03913,28.622559772799992,,879.27
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, Uninsulated",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, Uninsulated",,,WALL LAYER,0.2032,0.394,1762.2,,0.5152,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, Uninsulated",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-11",,,VINYL SIDING,0.0095,0.089,177.822,,0.1065,1.76828419575,,1046.75
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-11",,,WALL RIGID INS,0.0518,0.029,32.04,,1.761,2.01522353256,,1214.23
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-11",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-11",,,WALL LAYER,0.2032,0.859,1762.2,,0.2366,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-11",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-15",,,VINYL SIDING,0.0095,0.089,177.822,,0.1065,1.76828419575,,1046.75
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-15",,,WALL RIGID INS,0.0518,0.029,32.04,,1.761,2.01522353256,,1214.23
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-15",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-15",,,WALL LAYER,0.2032,0.293,1762.2,,0.6944,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-15",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-19",,,VINYL SIDING,0.0095,0.089,177.822,,0.1065,1.76828419575,,1046.75
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-19",,,WALL RIGID INS,0.0518,0.029,32.04,,1.761,2.01522353256,,1214.23
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-19",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-19",,,WALL LAYER,0.2032,0.182,1762.2,,1.117,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-19",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-7",,,VINYL SIDING,0.0095,0.089,177.822,,0.1065,1.76828419575,,1046.75
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-7",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-7",,,WALL LAYER,0.2032,0.138,1762.2,,1.469,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-7",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, R-11",,,WOOD SIDING,0.0254,0.102,544.68,,0.248,16.219450537919997,,1172.36
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, R-11",,,WALL RIGID INS,0.0518,0.029,32.04,,1.761,2.01522353256,,1214.23
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, R-11",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, R-11",,,WALL LAYER,0.2032,0.861,1762.2,,0.2359,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, R-11",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, R-15",,,WOOD SIDING,0.0254,0.102,544.68,,0.248,16.219450537919997,,1172.36
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, R-15",,,WALL RIGID INS,0.0518,0.029,32.04,,1.761,2.01522353256,,1214.23
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, R-15",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, R-15",,,WALL LAYER,0.2032,0.293,1762.2,,0.6937,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, R-15",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, R-7",,,WOOD SIDING,0.0254,0.102,544.68,,0.248,16.219450537919997,,1172.36
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, R-7",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, R-7",,,WALL LAYER,0.2032,0.138,1762.2,,1.469,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, R-7",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, Uninsulated",,,WOOD SIDING,0.0254,0.102,544.68,,0.248,16.219450537919997,,1172.36
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, Uninsulated",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, Uninsulated",,,WALL LAYER,0.2032,0.393,1762.2,,0.5177,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, Uninsulated",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"WoodStud, aluminum siding, R-11",,,ALUMINUM SIDING,0.0095,0.089,177.822,,0.1065,1.76828419575,,1046.75
Exterior Wall,"WoodStud, aluminum siding, R-11",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"WoodStud, aluminum siding, R-11",,,WALL STUD AND CAVITY,0.1397,0.095,139.054,,1.469,22.7328605968244,,1170.238
Exterior Wall,"WoodStud, aluminum siding, R-11",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"WoodStud, aluminum siding, R-15",,,ALUMINUM SIDING,0.0095,0.089,177.822,,0.1065,1.76828419575,,1046.75
Exterior Wall,"WoodStud, aluminum siding, R-15",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"WoodStud, aluminum siding, R-15",,,WALL STUD AND CAVITY,0.1397,0.078,139.054,,1.786,22.7328605968244,,1170.238
Exterior Wall,"WoodStud, aluminum siding, R-15",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"WoodStud, aluminum siding, R-19",,,ALUMINUM SIDING,0.0095,0.089,177.822,,0.1065,1.76828419575,,1046.75
Exterior Wall,"WoodStud, aluminum siding, R-19",,,WALL RIGID INS,0.0518,0.029,32.04,,1.761,2.01522353256,,1214.23
Exterior Wall,"WoodStud, aluminum siding, R-19",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"WoodStud, aluminum siding, R-19",,,WALL STUD AND CAVITY,0.1397,0.23,139.054,,0.6063,22.7328605968244,,1170.238
Exterior Wall,"WoodStud, aluminum siding, R-19",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"WoodStud, aluminum siding, R-7",,,ALUMINUM SIDING,0.0095,0.089,177.822,,0.1065,1.76828419575,,1046.75
Exterior Wall,"WoodStud, aluminum siding, R-7",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"WoodStud, aluminum siding, R-7",,,WALL STUD AND CAVITY,0.1397,0.118,139.054,,1.187,22.7328605968244,,1170.238
Exterior Wall,"WoodStud, aluminum siding, R-7",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"WoodStud, aluminum siding, Uninsulated",,,ALUMINUM SIDING,0.0095,0.089,177.822,,0.1065,1.76828419575,,1046.75
Exterior Wall,"WoodStud, aluminum siding, Uninsulated",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"WoodStud, aluminum siding, Uninsulated",,,WALL STUD AND CAVITY,0.1397,0.55,139.054,,0.2542,22.7328605968244,,1170.238
Exterior Wall,"WoodStud, aluminum siding, Uninsulated",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"WoodStud, asbestos siding, R-11",,,ASBESTOS SIDING,0.0063,0.606,1899.972,,0.01048,12.028236339168002,,1004.88
Exterior Wall,"WoodStud, asbestos siding, R-11",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"WoodStud, asbestos siding, R-11",,,WALL STUD AND CAVITY,0.1397,0.089,139.054,,1.565,22.7328605968244,,1170.238
Exterior Wall,"WoodStud, asbestos siding, R-11",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"WoodStud, asbestos siding, R-15",,,ASBESTOS SIDING,0.0063,0.606,1899.972,,0.01048,12.028236339168002,,1004.88
Exterior Wall,"WoodStud, asbestos siding, R-15",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"WoodStud, asbestos siding, R-15",,,WALL STUD AND CAVITY,0.1397,0.074,139.054,,1.882,22.7328605968244,,1170.238
Exterior Wall,"WoodStud, asbestos siding, R-15",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"WoodStud, asbestos siding, R-19",,,ASBESTOS SIDING,0.0063,0.606,1899.972,,0.01048,12.028236339168002,,1004.88
Exterior Wall,"WoodStud, asbestos siding, R-19",,,WALL RIGID INS,0.0518,0.029,32.04,,1.761,2.01522353256,,1214.23
Exterior Wall,"WoodStud, asbestos siding, R-19",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"WoodStud, asbestos siding, R-19",,,WALL STUD AND CAVITY,0.1397,0.199,139.054,,0.7024,22.7328605968244,,1170.238
Exterior Wall,"WoodStud, asbestos siding, R-19",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"WoodStud, asbestos siding, R-7",,,ASBESTOS SIDING,0.0063,0.606,1899.972,,0.01048,12.028236339168002,,1004.88
Exterior Wall,"WoodStud, asbestos siding, R-7",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"WoodStud, asbestos siding, R-7",,,WALL STUD AND CAVITY,0.1397,0.109,139.054,,1.283,22.7328605968244,,1170.238
Exterior Wall,"WoodStud, asbestos siding, R-7",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"WoodStud, asbestos siding, Uninsulated",,,ASBESTOS SIDING,0.0063,0.606,1899.972,,0.01048,12.028236339168002,,1004.88
Exterior Wall,"WoodStud, asbestos siding, Uninsulated",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"WoodStud, asbestos siding, Uninsulated",,,WALL STUD AND CAVITY,0.1397,0.399,139.054,,0.3502,22.7328605968244,,1170.238
Exterior Wall,"WoodStud, asbestos siding, Uninsulated",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"WoodStud, brick veneer, R-11",,,BRICK VENEER,0.1016,0.793,1762.2,,0.1281,142.4313093456,,795.53
Exterior Wall,"WoodStud, brick veneer, R-11",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"WoodStud, brick veneer, R-11",,,WALL STUD AND CAVITY,0.1397,0.095,139.054,,1.465,22.7328605968244,,1170.238
Exterior Wall,"WoodStud, brick veneer, R-11",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"WoodStud, brick veneer, R-15",,,BRICK VENEER,0.1016,0.793,1762.2,,0.1281,142.4313093456,,795.53
Exterior Wall,"WoodStud, brick veneer, R-15",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"WoodStud, brick veneer, R-15",,,WALL STUD AND CAVITY,0.1397,0.078,139.054,,1.782,22.7328605968244,,1170.238
Exterior Wall,"WoodStud, brick veneer, R-15",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"WoodStud, brick veneer, R-19",,,BRICK VENEER,0.1016,0.793,1762.2,,0.1281,142.4313093456,,795.53
Exterior Wall,"WoodStud, brick veneer, R-19",,,WALL RIGID INS,0.0518,0.029,32.04,,1.761,2.01522353256,,1214.23
Exterior Wall,"WoodStud, brick veneer, R-19",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"WoodStud, brick veneer, R-19",,,WALL STUD AND CAVITY,0.1397,0.232,139.054,,0.6024,22.7328605968244,,1170.238
Exterior Wall,"WoodStud, brick veneer, R-19",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"WoodStud, brick veneer, R-7",,,BRICK VENEER,0.1016,0.793,1762.2,,0.1281,142.4313093456,,795.53
Exterior Wall,"WoodStud, brick veneer, R-7",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"WoodStud, brick veneer, R-7",,,WALL STUD AND CAVITY,0.1397,0.118,139.054,,1.183,22.7328605968244,,1170.238
Exterior Wall,"WoodStud, brick veneer, R-7",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"WoodStud, brick veneer, Uninsulated",,,BRICK VENEER,0.1016,0.793,1762.2,,0.1281,142.4313093456,,795.53
Exterior Wall,"WoodStud, brick veneer, Uninsulated",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"WoodStud, brick veneer, Uninsulated",,,WALL STUD AND CAVITY,0.1397,0.558,139.054,,0.2502,22.7328605968244,,1170.238
Exterior Wall,"WoodStud, brick veneer, Uninsulated",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"WoodStud, composite shingle siding, R-11",,,COMPOSITE SHINGLE SIDING,0.0063,0.163,1121.4,,0.03903,10.353140469,,1465.45
Exterior Wall,"WoodStud, composite shingle siding, R-11",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"WoodStud, composite shingle siding, R-11",,,WALL STUD AND CAVITY,0.1397,0.091,139.054,,1.537,22.7328605968244,,1170.238
Exterior Wall,"WoodStud, composite shingle siding, R-11",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"WoodStud, composite shingle siding, R-15",,,COMPOSITE SHINGLE SIDING,0.0063,0.163,1121.4,,0.03903,10.353140469,,1465.45
Exterior Wall,"WoodStud, composite shingle siding, R-15",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"WoodStud, composite shingle siding, R-15",,,WALL STUD AND CAVITY,0.1397,0.075,139.054,,1.854,22.7328605968244,,1170.238
Exterior Wall,"WoodStud, composite shingle siding, R-15",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"WoodStud, composite shingle siding, R-19",,,COMPOSITE SHINGLE SIDING,0.0063,0.163,1121.4,,0.03903,10.353140469,,1465.45
Exterior Wall,"WoodStud, composite shingle siding, R-19",,,WALL RIGID INS,0.0518,0.029,32.04,,1.761,2.01522353256,,1214.23
Exterior Wall,"WoodStud, composite shingle siding, R-19",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"WoodStud, composite shingle siding, R-19",,,WALL STUD AND CAVITY,0.1397,0.207,139.054,,0.6738,22.7328605968244,,1170.238
Exterior Wall,"WoodStud, composite shingle siding, R-19",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"WoodStud, composite shingle siding, R-7",,,COMPOSITE SHINGLE SIDING,0.0063,0.163,1121.4,,0.03903,10.353140469,,1465.45
Exterior Wall,"WoodStud, composite shingle siding, R-7",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"WoodStud, composite shingle siding, R-7",,,WALL STUD AND CAVITY,0.1397,0.111,139.054,,1.255,22.7328605968244,,1170.238
Exterior Wall,"WoodStud, composite shingle siding, R-7",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"WoodStud, composite shingle siding, Uninsulated",,,COMPOSITE SHINGLE SIDING,0.0063,0.163,1121.4,,0.03903,10.353140469,,1465.45
Exterior Wall,"WoodStud, composite shingle siding, Uninsulated",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"WoodStud, composite shingle siding, Uninsulated",,,WALL STUD AND CAVITY,0.1397,0.434,139.054,,0.3217,22.7328605968244,,1170.238
Exterior Wall,"WoodStud, composite shingle siding, Uninsulated",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
